Age Group,Treatment,Area,Mean,IntDen,RawIntDen
24moF,N treatment,108.29,542.09,58701,5087012
24moF,N treatment,69.36,522.12,36216,3138454
24moF,N treatment,89.32,662.11,59137,5124759
24moF,N treatment,20.11,655.97,13194,1143354
24moF,N treatment,22.73,655.96,14912,1292240
24moF,N treatment,80.07,942.05,75432,6536848
24moF,N treatment,34.91,1003.42,35026,3035356
24moF,N treatment,24.86,1163.45,28919,2506073
24moF,N treatment,34.67,1306.35,45284,3924262
24moF,N treatment,41.97,1132.7,47538,4119620
24moF,N treatment,66.62,1261.76,84055,7284146
24moF,N treatment,47.21,1117.99,52778,4573692
24moF,N treatment,36.25,898.12,32553,2820980
24moF,N treatment,51.64,710.82,36706,3180907
24moF,N treatment,39.72,1143.17,45405,3934783
24moF,N treatment,49.92,1119.23,55871,4841768
24moF,N treatment,79.46,1070.61,85071,7372224
24moF,N treatment,52.26,1049.82,54866,4754646
24moF,N treatment,34.72,1009.46,35051,3037477
24moF,N treatment,355.45,1192.47,423862,36731505
24moF,N treatment,25.27,1389.71,35120,3043467
24moF,N treatment,934.75,1445.66,1351331,117105253
24moF,N treatment,28.38,1039.45,29495,2556016
24moF,N treatment,42.7,960.53,41011,3553962
24moF,N treatment,37.37,921.72,34440,2984527
24moF,N treatment,23.48,1024.87,24067,2085613
24moF,N treatment,85.88,1829.19,157085,13612850
24moF,N treatment,40.48,1672.05,67685,5865546
24moF,N treatment,23.04,1339.36,30865,2674695
24moF,N treatment,38.76,1316.11,51014,4420814
24moF,N treatment,34.12,1350.79,46092,3994299
24moF,N treatment,53.46,1138.08,60844,5272721
24moF,N treatment,49.83,785.37,39133,3391237
24moF,N treatment,59.2,1086.5,64318,5573764
24moF,N treatment,27.38,1063.56,29124,2523824
24moF,N treatment,125.91,1081.99,136230,11805577
24moF,N treatment,39.73,1083.79,43059,3731496
24moF,N treatment,21.79,884.73,19275,1670373
24moF,N treatment,32.69,1063.42,34765,3012671
24moF,N treatment,41.48,1178.68,48897,4237370
24moF,N treatment,42.98,1009.39,43388,3759965
24moF,N treatment,44.97,1039.43,46743,4050674
24moF,N treatment,40.2,992.36,39896,3457393
24moF,N treatment,77.42,894.72,69267,6002651
24moF,N treatment,193.03,1218.24,235159,20378653
24moF,N treatment,29,1057.38,30663,2657202
24moF,N treatment,47.15,1047.42,49386,4279765
24moF,N treatment,21.01,901.03,18934,1640783
24moF,N treatment,41.61,1336.24,55603,4818470
24moF,N treatment,38.46,1030.84,39647,3435782
24moF,N treatment,73.61,1394.21,102628,8893681
24moF,N treatment,60.16,1246.24,74968,6496666
24moF,N treatment,239.18,1110.51,265611,23017633
24moF,N treatment,43.77,975.46,42695,3699927
24moF,N treatment,32.77,1037.11,33988,2945397
24moF,N treatment,22.58,1172.23,26472,2294061
24moF,N treatment,26.07,1210.51,31555,2734539
24moF,N treatment,40.94,1549.31,63432,5496956
24moF,N treatment,38.21,1362.3,52050,4510578
24moF,N treatment,51.58,1309.81,67562,5854863
24moF,N treatment,47.31,1364.05,64536,5592623
24moF,N treatment,43.79,1304.31,57119,4949849
24moF,N treatment,22.83,1580.56,36076,3126339
24moF,N treatment,38.23,1994.56,76252,6607971
24moF,N treatment,36.28,1249.15,45319,3927316
24moF,N treatment,47.81,1324.89,63340,5489003
24moF,N treatment,35.18,1329.33,46771,4053140
24moF,N treatment,33,1759.99,58085,5033583
24moF,N treatment,47.13,1346.01,63434,5497107
24moF,N treatment,22.21,1424.1,31634,2741386
24moF,N treatment,30.49,1412.47,43062,3731746
24moF,N treatment,36.51,1389.22,50722,4395484
24moF,N treatment,25.84,1418.72,36655,3176502
24moF,N treatment,79.21,1510.34,119629,10366963
24moF,N treatment,25.26,1522.37,38455,3332477
24moF,N treatment,21.37,1247.17,26653,2309754
24moF,N treatment,23.74,1260.09,29910,2592010
24moF,N treatment,31.13,1544.94,48099,4168251
24moF,N treatment,35.38,1427.6,50509,4377031
24moF,N treatment,21.81,1205.08,26282,2277591
24moF,N treatment,86.06,1237.4,106492,9228545
24moF,N treatment,35.28,1310.65,46235,4006655
24moF,N treatment,51.07,1494.41,76325,6614273
24moF,N treatment,101.78,1459.22,148517,12870349
24moF,N treatment,37,1276.34,47219,4091946
24moF,N treatment,21.67,1085.94,23534,2039400
24moF,N treatment,52.77,1214.16,64071,5552367
24moF,N treatment,21.52,9446.66,203302,17618026
24moF,N treatment,80.92,1733.98,140304,12158646
24moF,N treatment,24.38,1085.15,26459,2292914
2moM,E + N treatment,50.15,483.76,24261,2102418
2moM,E + N treatment,322.37,698.13,225052,19502814
2moM,E + N treatment,22.34,891.9,19925,1726714
2moM,E + N treatment,943.92,958.82,905047,78430603
2moM,E + N treatment,992.89,935.72,929071,80512533
2moM,E + N treatment,30.75,768.94,23647,2049224
2moM,E + N treatment,37.8,442.99,16747,1451245
2moM,E + N treatment,23.91,608.36,14546,1260526
2moM,E + N treatment,45.95,523.07,24035,2082856
2moM,E + N treatment,24.28,413.48,10039,869963
2moM,E + N treatment,22.69,409.19,9283,804469
2moM,E + N treatment,45.7,558.82,25536,2212941
2moM,E + N treatment,153.96,635.13,97784,8473875
2moM,E + N treatment,39.7,712.21,28272,2450003
2moM,E + N treatment,1363.64,812.8,1108363,96049791
2moM,E + N treatment,20.02,535.87,10729,929725
2moM,E + N treatment,370.24,799.16,295885,25641120
2moM,E + N treatment,344.96,697.27,240531,20844258
2moM,E + N treatment,45.81,436.34,19990,1732280
2moM,E + N treatment,24,940.69,22579,1956643
2moM,E + N treatment,1145.6,819.05,938307,81312913
2moM,E + N treatment,24.01,433.58,10412,902283
2moM,E + N treatment,40.68,461.61,18777,1627163
2moM,E + N treatment,51.87,470.41,24400,2114497
2moM,E + N treatment,61.01,780.3,47605,4125450
2moM,E + N treatment,37.5,590,22127,1917514
2moM,E + N treatment,24.57,593.67,14585,1263912
2moM,E + N treatment,29.09,718.91,20914,1812377
2moM,E + N treatment,22.21,445.86,9904,858278
2moM,E + N treatment,31.53,654.52,20634,1788140
2moM,E + N treatment,25.88,446.23,11550,1000887
2moM,E + N treatment,22.58,757.78,17113,1482981
2moM,E + N treatment,212.97,747.39,159173,13793773
2moM,E + N treatment,21.68,550.98,11947,1035295
2moM,E + N treatment,67.23,842.16,56617,4906395
2moM,E + N treatment,27.6,462.13,12756,1105421
2moM,E + N treatment,34.83,621.54,21646,1875793
2moM,E + N treatment,35.61,467.88,16661,1443864
2moM,E + N treatment,60.79,699.3,42510,3683894
2moM,E + N treatment,39.21,535.02,20979,1818006
2moM,E + N treatment,48.24,771.1,37194,3223208
2moM,E + N treatment,407.59,921.37,375538,32543845
2moM,E + N treatment,147.71,520.75,76917,6665586
2moM,E + N treatment,154.58,805.59,124530,10791685
2moM,E + N treatment,21.91,517.63,11343,982986
2moM,E + N treatment,37.92,614.56,23303,2019440
2moM,E + N treatment,144.47,665.59,96161,8333203
2moM,E + N treatment,67.22,456.91,30712,2661498
2moM,E + N treatment,62.64,717.9,44966,3896758
2moM,E + N treatment,46.02,540.81,24888,2156748
2moM,E + N treatment,34.01,614.47,20896,1810856
2moM,E + N treatment,422.75,802.83,339393,29411530
2moM,E + N treatment,214.25,623.65,133618,11579220
2moM,E + N treatment,51.02,631.73,32228,2792860
2moM,E + N treatment,203.04,765.13,155349,13462399
2moM,E + N treatment,20.04,398.39,7985,692002
2moM,E + N treatment,122.16,465.22,56830,4924841
2moM,E + N treatment,39.18,500.31,19600,1698540
2moM,E + N treatment,88.17,717,63220,5478569
2moM,E + N treatment,50.31,399.76,20113,1742933
2moM,E + N treatment,631.71,645.61,407834,35342584
2moM,E + N treatment,45.97,472.5,21722,1882427
2moM,E + N treatment,144.49,730.96,105613,9152309
2moM,E + N treatment,189.99,589.84,112060,9711044
2moM,E + N treatment,26.44,429.23,11347,983361
2moM,E + N treatment,69.95,558.57,39073,3386040
2moM,E + N treatment,44.21,387.97,17151,1486311
2moM,E + N treatment,33.12,546.47,18098,1568375
2moM,E + N treatment,149.34,675.63,100902,8744061
2moM,E + N treatment,67.62,664.35,44924,3893096
2moM,E + N treatment,1370.08,643.35,881438,76384658
2moM,E + N treatment,27.15,357.34,9703,840822
2moM,E + N treatment,31.25,463.84,14495,1256085
2moM,E + N treatment,46.46,495.98,23042,1996802
2moM,E + N treatment,161.02,600.53,96698,8379734
2moM,E + N treatment,22.36,603.55,13497,1169670
2moM,E + N treatment,60.85,734.37,44685,3872337
2moM,E + N treatment,28.93,518.56,15001,1300017
2moM,E + N treatment,78.63,1162.55,91411,7921629
2moM,E + N treatment,161.39,1168.61,188603,16344173
2moM,E + N treatment,64.26,1165.48,74898,6490580
2moM,E + N treatment,40.45,1340.1,54201,4697042
2moM,E + N treatment,88.9,1182.24,105101,9107958
2moM,E + N treatment,31.33,1172.72,36741,3183920
2moM,E + N treatment,28.49,1172.92,33418,2895943
2moM,E + N treatment,24.73,1167.38,28868,2501696
2moM,E + N treatment,40.04,1174.89,47045,4076856
2moM,E + N treatment,53.51,1169.68,62588,5423792
2moM,E + N treatment,254.05,1218.38,309533,26823893
2moM,E + N treatment,23.3,1040.49,24241,2100747
2moM,E + N treatment,21.41,1172.77,25104,2175481
2moM,E + N treatment,25.14,1156.8,29087,2520663
2moM,E + N treatment,154.92,1289.67,199793,17313863
2moM,E + N treatment,32.73,1032.43,33787,2927969
2moM,E + N treatment,46.49,1358.78,63173,5474526
2moM,E + N treatment,38.55,1095.87,42249,3661303
2moM,E + N treatment,32.52,1158,37656,3263229
2moM,E + N treatment,30.5,1191.25,36332,3148473
2moM,E + N treatment,46.97,1090.95,51237,4440163
2moM,E + N treatment,23.64,1207.47,28550,2474110
2moM,E + N treatment,81.64,1223.04,99851,8653039
2moM,E + N treatment,93.98,1536.41,144388,12512557
2moM,E + N treatment,20.15,1447.27,29159,2526938
2moM,E + N treatment,140.9,1338.2,188547,16339370
2moM,E + N treatment,152.25,7867.95,1197908,103809760
2moM,E + N treatment,44.52,1292.5,57541,4986444
2moM,E + N treatment,40.38,1102.02,44496,3855950
2moM,E + N treatment,32.55,993.76,32350,2803382
2moM,E + N treatment,51.41,1041.75,53554,4640976
2moM,E + N treatment,35.23,1096.2,38619,3346708
2moM,E + N treatment,74.85,1315.64,98469,8533213
2moM,E + N treatment,27.05,950.06,25698,2226943
2moM,E + N treatment,45.37,1245.51,56513,4897332
2moM,E + N treatment,20.81,1143.02,23781,2060872
2moM,E + N treatment,20.9,1106.98,23134,2004735
2moM,E + N treatment,27.88,1060.91,29577,2563153
2moM,E + N treatment,33.79,1092.84,36925,3199848
2moM,E + N treatment,22.66,1095.86,24836,2152273
2moM,E + N treatment,59.06,1319.36,77920,6752488
2moM,E + N treatment,97.01,1164.42,112963,9789244
2moM,E + N treatment,38.02,1043.31,39669,3437701
2moM,E + N treatment,25.21,1077.31,27163,2353931
2moM,E + N treatment,32.86,1176.71,38672,3351260
